bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genre
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,"['Christian', 'Biography', 'Nonfiction', 'Religion', 'Faith', 'Religion', 'Christianity']"
5931,The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,4.46,0872864286,9780872864283,eng,200,5149,210,4/1/2004,City Lights Publishers,"['Poetry', 'Classics', 'European Literature', 'Spanish Literature']"
23601,The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,Wayne G. Hammond/Wayne G. Hammond,4.46,0618391010,9780618391011,eng,1262,31,2,11/2/2006,Houghton Mifflin Harcourt,"['Fantasy', 'Reference']"
32016,The Gospel According to Job,Mike Mason,4.46,158134449X,9781581344493,eng,448,138,19,10/3/2002,Crossway Books,"['Nonfiction', 'Religion', 'Religion', 'Theology', 'Christian']"
22914,The Annotated Brothers Grimm,Jacob Grimm/Wilhelm Grimm/Maria Tatar/A.S. Byatt/George Cruikshank/Paul Hey/Walter Crane/Warwick Goble/Kay Nielsen/Arthur Rackham,4.46,0393058484,9780393058482,eng,462,3132,103,9/17/2004,W. W. Norton  Company,"['Classics', 'Fantasy', 'Fantasy', 'Fairy Tales', 'Fiction', 'Short Stories']"
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,"['Christian', 'Biography', 'Nonfiction', 'Religion', 'Faith', 'Religion', 'Christianity']"
16569,Ficciones,Jorge Luis Borges/Gordon Botherston/Peter Hulme,4.45,1853995908,9781853995903,spa,232,90,4,12/9/1999,BCP/Duckworth Publishing,"['Fiction', 'Short Stories', 'Classics', 'Magical Realism', 'Literature', 'Fantasy']"
2048,The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler/Tom Hiney,4.45,0375415025,9780375415029,eng,1016,241,11,10/15/2002,Everyman's Library,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Mystery', 'Noir']"
37063,The Gospel of Filth: A Bible of Decadence & Darkness,Gavin Baddeley/Dani Filth,4.45,9781903254,9781903254387,eng,544,114,6,2/5/2010,Fab Press,"['Nonfiction', 'Music', 'Reference', 'Occult', 'Cultural', 'Biography']"
11430,Return (Redemption  #3),Karen Kingsbury/Gary Smalley,4.45,0842382895,9780842382892,eng,384,13180,288,9/1/2003,Tyndale House Publishers,"['Christian Fiction', 'Christian', 'Fiction', 'Romance']"
43536,Wooden: A Lifetime of Observations and Reflections On and Off the Court,John Wooden/Steve Jamison,4.45,0809230410,9780809230419,eng,201,3429,274,4/22/1997,McGraw-Hill,"['Sports', 'Sports', 'Leadership', 'Nonfiction', 'Biography', 'Self Help', 'Sports', 'Basketball']"
13383,Vinyl Cafe Coast to Coast Story Service,Stuart McLean,4.45,0968303188,9780968303184,eng,3,51,1,7/15/2005,Canadian Broadcasting Corporation (CBC Audio),"['Fiction', 'Adult Fiction', 'Short Stories', 'Humor', 'Cultural', 'Canada']"
33497,Call of Cthulhu: Horror Roleplaying (Call of Cthulhu RPG),Sandy Petersen/Lynn Willis,4.45,1568821484,9781568821481,eng,288,34,1,1/1/2000,Chaosium,"['Games', 'Gaming', 'Sports and Games', 'Games', 'Games', 'Role Playing Games', 'Horror', 'Fantasy']"
38656,The Collected Works of C.S. Lewis,C.S. Lewis/Michael Hauge,4.45,0884861511,9780884861515,en-US,537,39,3,3/30/1996,Thomas Nelson,"['Christian', 'Philosophy', 'Religion', 'Fiction', 'Classics']"
25106,Fables & Reflections (The Sandman  #6),Neil Gaiman/Bryan Talbot/Stan Woch/P. Craig Russell/Shawn McManus/John Watkiss/Jill Thompson/Duncan Eagleson/Kent Williams/Todd Klein,4.45,1563891069,9781563891069,eng,263,40736,776,3/10/1999,DC Comics,"['Sequential Art', 'Graphic Novels', 'Sequential Art', 'Comics', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Horror']"
5289,Complete Works of Oscar Wilde,Oscar Wilde/Merlin Holland,4.45,0007144350,9780007144358,eng,1270,11903,183,8/4/2003,HarperCollins Publishers,"['Classics', 'Fiction', 'Poetry', 'Plays', 'Short Stories']"
13871,Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist/Brett Booth,4.45,0976401150,9780976401155,eng,265,276,5,6/29/2006,Dabel Brothers Productions,"['Fantasy', 'Sequential Art', 'Graphic Novels', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Sequential Art', 'Comics', 'Science Fiction Fantasy']"
40174,Herzog on Herzog,Paul Cronin,4.45,0571207081,9780571207084,eng,352,1373,93,7/9/2003,Farrar  Straus and Giroux,"['Culture', 'Film', 'Nonfiction', 'Biography', 'Art']"
26779,Oswald Chambers  Abandoned to God: The Life Story of the Author of My Utmost for His Highest,David McCasland/Oswald Chambers,4.45,1572930500,9781572930506,eng,352,1372,87,9/1/1998,Our Daily Bread Publishing,"['Biography', 'Christian', 'Nonfiction', 'Religion', 'Christianity', 'History']"
3055,Alcoholics Anonymous,Alcoholics Anonymous,4.45,1893007162,9781893007161,en-US,576,495,30,2/10/2002,AA World Services,"['Self Help', 'Nonfiction', 'Psychology', 'Reference']"
1887,The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,4.45,014025157X,9780140251579,eng,128,4244,99,9/7/1995,Penguin Books Ltd,"['Nonfiction', 'European Literature', 'British Literature', 'Classics', 'Romance']"
13765,Red River  Vol. 15 (Red River  #15),Chie Shinohara,4.45,1421505576,9781421505572,eng,191,1007,13,11/1/2006,Viz Media,"['Sequential Art', 'Manga', 'Romance', 'Historical', 'Historical Fiction', 'Sequential Art', 'Graphic Novels', 'Fantasy']"
42355,God's Generals Why They Succeeded and Why Some Fail,Roberts Liardon,4.45,0883689448,9780883689448,eng,416,1481,67,11/1/2000,Whitaker House,"['Christian', 'Biography', 'Nonfiction', 'History', 'Religion', 'Christianity']"
44067,Full Woman  Fleshly Apple  Hot Moon: Selected Poems,Pablo Neruda/Stephen Mitchell,4.45,0060928778,9780060928773,eng,288,1018,66,2/11/1998,Harper Perennial,"['Poetry', 'Cultural', 'Latin American', 'Literature', 'Classics', 'Literature', 'Latin American Literature', 'European Literature', 'Spanish Literature', 'Nobel Prize', 'Fiction', 'Cultural', 'International']"
13488,JoJo's Bizarre Adventure  Vol. 4 (Stardust Crusaders  #4),Hirohiko Araki,4.45,142150653X,9781421506531,eng,208,450,8,6/6/2006,VIZ Media,"['Sequential Art', 'Manga', 'Sequential Art', 'Comics', 'Fantasy', 'Sequential Art', 'Graphic Novels', 'Fantasy', 'Supernatural']"
13767,Red River  Vol. 16 (Red River  #16),Chie Shinohara,4.45,1421505584,9781421505589,eng,191,999,13,1/1/2007,Viz Media,"['Sequential Art', 'Manga', 'Romance', 'Historical', 'Historical Fiction', 'Sequential Art', 'Graphic Novels', 'Fantasy']"
43915,Magician: Apprentice Volume 1  (Raymond E. Feist's Magician: Apprentice #1),Raymond E. Feist/Michael Avon Oeming/Bryan J.L. Glass/Ryan Stegman,4.45,0785127224,9780785127222,eng,168,19895,114,5/30/2007,Marvel Comics Group,"['Fantasy', 'Sequential Art', 'Graphic Novels', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Sequential Art', 'Comics', 'Science Fiction Fantasy']"
17762,Manöver um Feuerland (The Far Side of the World) (Aubrey/Maturin Book 10),Patrick O'Brian,4.45,3548254438,9783548254432,ger,478,8,0,6/1/2002,Ullstein Tb,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Adventure']"
42900,Lover Awakened (Black Dagger Brotherhood  #3),J.R. Ward,4.45,0451219368,9780451219367,eng,448,144906,5728,9/5/2006,Signet,"['Romance', 'Fantasy', 'Paranormal', 'Paranormal', 'Vampires', 'Romance', 'Paranormal Romance', 'Fantasy', 'Fantasy', 'Urban Fantasy', 'Adult', 'Fiction', 'Adult Fiction', 'Erotica', 'Fantasy', 'Supernatural']"
13547,Jojo's Bizarre Adventure  Tome 16: L'Expérience du combat ! (Stardust Crusaders  #4),Hirohiko Araki/Hirohiko Araki,4.45,2290328294,9782290328293,fre,207,3,1,4/29/2003,J'ai lu,"['Sequential Art', 'Manga', 'Sequential Art', 'Comics', 'Fantasy', 'Sequential Art', 'Graphic Novels', 'Fantasy', 'Supernatural']"
25033,Common Herbs for Natural Health,Juliette De Bairacli Levy/Heather  Wood,4.45,0961462094,9780961462093,eng,223,113,7,4/11/1996,Ash Tree Publishing,"['Health', 'Plants', 'Herbs', 'Reference']"
